,title,author,pub_year,avg_rate,num_rate,shelved,series_name,series_num
300,Dragons of Autumn Twilight,Margaret Weis,1984,4.0,112877,5308,Dragonlance: Chronicles,1.0
301,Magician: Apprentice,Raymond E. Feist,1982,4.16,90348,5287,The Riftwar Saga,1.0
302,Magician's Gambit,David Eddings,1983,4.14,89228,5275,The Belgariad,3.0
303,Daughter of the Pirate King,Tricia Levenseller,2017,4.01,130113,5273,Daughter of the Pirate King,1.0
304,Queen of Sorcery,David Eddings,1982,4.14,70053,5264,The Belgariad,2.0
305,In the Hand of the Goddess,Tamora Pierce,1984,4.23,94890,5237,Song of the Lioness,2.0
306,Blood Song,Anthony Ryan,2011,4.41,80622,5226,Raven's Shadow,1.0
307,Cruel Beauty,Rosamund Hodge,2014,3.66,86826,5226,,
308,Tigana,Guy Gavriel Kay,1990,4.09,45845,5200,,
309,Redwall,Brian Jacques,1986,4.12,112767,5161,Redwall,1.0
310,Baptism of Fire,Andrzej Sapkowski,1996,4.26,92285,5153,The Witcher,3.0
311,The Girl of Fire and Thorns,Rae Carson,2011,3.79,79645,5134,Fire and Thorns,1.0
312,The Book of Three,Lloyd Alexander,1964,3.98,76437,5125,The Chronicles of Prydain,1.0
313,Theft of Swords,Michael J. Sullivan,2011,4.21,62605,5118,The Riyria Revelations,1.0
314,Feet of Clay,Terry Pratchett,1996,4.3,78003,5104,Discworld,19.0
315,Magic Study,Maria V. Snyder,2006,4.04,76485,5093,Study,2.0
316,Shatter Me,Tahereh Mafi,2011,3.9,522442,5086,Shatter Me,1.0
317,Angelfall,Susan Ee,2011,4.11,184429,5082,Penryn & the End of Days,1.0
318,The Demon King,Cinda Williams Chima,2009,4.15,73784,5082,Seven Realms,1.0
319,Steelheart,Brandon Sanderson,2013,4.14,168709,5079,The Reckoners,1.0
320,Preludes & Nocturnes,Neil Gaiman,1988,4.24,247701,5065,The Sandman,1.0
321,New Spring,Robert Jordan,2004,4.05,92011,5029,The Wheel of Time,0.0
322,Enchanters' End Game,David Eddings,1984,4.18,89956,5020,The Belgariad,5.0
323,Truthwitch,Susan Dennard,2016,3.86,49741,5015,The Witchlands,1.0
324,Inkspell,Cornelia Funke,2005,3.93,120716,5012,Inkworld,2.0
325,Castle of Wizardry,David Eddings,1984,4.16,73772,5007,The Belgariad,4.0
326,The Hitchhiker's Guide to the Galaxy,Douglas Adams,1979,4.23,1679154,4996,Hitchhiker's Guide to the Galaxy,1.0
327,Homeland,R.A. Salvatore,1990,4.25,82332,4982,Forgotten Realms: The Dark Elf Trilogy,1.0
328,Soul Music,Terry Pratchett,1994,4.04,73821,4971,Discworld,16.0
329,The Ruins of Gorlan,John Flanagan,2004,4.24,143729,4893,Ranger's Apprentice,1.0
330,The Alchemyst,Michael Scott,2007,3.86,153180,4884,The Secrets of the Immortal Nicholas Flamel,1.0
331,These Violent Delights,Chloe Gong,2020,3.96,96811,4884,These Violent Delights,1.0
332,King's Cage,Victoria Aveyard,2017,3.94,201106,4873,Red Queen,3.0
333,The Arctic Incident,Eoin Colfer,2002,3.96,149229,4852,Artemis Fowl,2.0
334,Rule of Wolves,Leigh Bardugo,2021,4.39,102154,4838,King of Scars,2.0
335,Grave Mercy,Robin LaFevers,2012,3.89,104139,4832,His Fair Assassin,1.0
336,The Scorpio Races,Maggie Stiefvater,2011,4.09,105707,4809,,
337,Half a King,Joe Abercrombie,2014,3.97,59039,4807,Shattered Sea,1.0
338,Fallen,Lauren Kate,2009,3.72,553720,4806,Fallen,1.0
339,Death Masks,Jim Butcher,2003,4.29,129724,4803,The Dresden Files,5.0
340,Moving Pictures,Terry Pratchett,1990,3.95,75360,4792,Discworld,10.0
341,Wolves of the Calla,Stephen King,2003,4.19,171183,4771,The Dark Tower,5.0
342,Golden Fool,Robin Hobb,2002,4.34,73801,4763,Tawny Man,2.0
343,Nimona,N.D. Stevenson,2015,4.15,135120,4758,,
344,The Hazel Wood,Melissa Albert,2018,3.58,83931,4748,The Hazel Wood,1.0
345,Eric,Terry Pratchett,1990,3.77,67923,4745,Discworld,9.0
346,Wild Magic,Tamora Pierce,1992,4.3,77679,4739,Immortals,1.0
347,Lords and Ladies,Terry Pratchett,1992,4.18,74435,4737,Discworld,14.0
348,The Diviners,Libba Bray,2012,3.94,94359,4735,The Diviners,1.0
349,Falling Kingdoms,Morgan Rhodes,2012,3.78,58481,4730,Falling Kingdoms,1.0
350,His Dark Materials,Philip Pullman,2000,4.28,154951,4718,His Dark Materials ,1.0
351,The Woman Who Rides Like a Man,Tamora Pierce,1986,4.18,77524,4708,Song of the Lioness,3.0
352,Soulless,Gail Carriger,2009,3.89,107340,4686,Parasol Protectorate,1.0
353,Insurgent,Veronica Roth,2012,3.99,1369282,4681,Divergent,2.0
354,The Blue Sword,Robin McKinley,1982,4.2,59634,4679,Damar,1.0
355,Fablehaven,Brandon Mull,2006,4.12,152867,4639,Fablehaven,1.0
356,Foundryside,Robert Jackson Bennett,2018,4.21,30160,4638,The Founders Trilogy,1.0
357,City of Stairs,Robert Jackson Bennett,2014,4.09,32085,4629,The Divine Cities,1.0
358,The Magician King,Lev Grossman,2011,3.92,94357,4622,The Magicians,2.0
359,The Hidden Oracle,Rick Riordan,2016,4.19,155744,4615,The Trials of Apollo,1.0
360,The Eyre Affair,Jasper Fforde,2001,3.88,128877,4606,Thursday Next,1.0
361,Alice's Adventures in Wonderland,Lewis Carroll,1865,4.0,335586,4604,,
362,The Girl Who Drank the Moon,Kelly Barnhill,2016,4.12,80595,4604,,
363,The Invisible Library,Genevieve Cogman,2014,3.74,51057,4595,The Invisible Library,1.0
364,The Mad Ship,Robin Hobb,1999,4.26,58987,4595,Liveship Traders,2.0
365,Lioness Rampant,Tamora Pierce,1988,4.27,87457,4589,Song of the Lioness,4.0
366,Shadow's Edge,Brent Weeks,2008,4.25,98287,4577,Night Angel,2.0
367,La Belle Sauvage,Philip Pullman,2017,4.15,93572,4575,The Book of Dust,1.0
368,Thief of Time,Terry Pratchett,2001,4.26,67525,4572,Discworld,26.0
369,Gods of Jade and Shadow,Silvia Moreno-Garcia,2019,3.91,50367,4565,,
370,Rhythm of War,Brandon Sanderson,2020,4.61,96103,4559,The Stormlight Archive,4.0
371,The Fifth Elephant,Terry Pratchett,1999,4.28,68618,4556,Discworld,24.0
372,The Gilded Wolves,Roshani Chokshi,2019,3.74,37554,4541,The Gilded Wolves,1.0
373,Promise of Blood,Brian  McClellan,2013,4.13,50496,4539,Powder Mage,1.0
374,Thud!,Terry Pratchett,2005,4.33,68610,4524,Discworld,34.0
375,Rebel of the Sands,Alwyn Hamilton,2016,3.96,59253,4522,Rebel of the Sands,1.0
376,Dance of Thieves,Mary E. Pearson,2018,4.21,71681,4521,Dance of Thieves,1.0
377,The Host,Stephenie Meyer,2008,3.85,963414,4513,The Host,1.0
378,The Tower of the Swallow,Andrzej Sapkowski,1997,4.23,77394,4490,The Witcher,4.0
379,Ship of Destiny,Robin Hobb,2000,4.25,65597,4472,Liveship Traders,3.0
380,Song of Susannah,Stephen King,2004,3.99,146613,4464,The Dark Tower,6.0
