,title,author,pub_year,avg_rate,num_rate,shelved,series_name,series_num
199,"Saga, Volume 2",Brian K. Vaughan,2013,4.5,104318,1773,,
200,The Calculating Stars,Mary Robinette Kowal,2018,3.97,28955,1762,Lady Astronaut Universe,1
201,Endymion,Dan Simmons,1996,4.18,54390,1759,Hyperion Cantos,3
202,Blindsight,Peter Watts,2006,4.01,34279,1728,Firefall,1
203,Spin,Robert Charles Wilson,2005,4.02,38946,1727,Spin,1
204,To Say Nothing of the Dog,Connie Willis,1997,4.11,37861,1721,Oxford Time Travel,2
205,The Year of the Flood,Margaret Atwood,2009,4.05,117838,1712,MaddAddam,2
206,On Basilisk Station,David Weber,1992,4.13,44644,1712,Honor Harrington,1
207,"To Be Taught, If Fortunate",Becky  Chambers,2019,4.2,31422,1702,,
208,A Psalm for the Wild-Built,Becky  Chambers,2021,4.29,37058,1673,Monk & Robot,1
209,These Broken Stars,Amie Kaufman,2013,3.9,68127,1663,Starbound,1
210,Gateway,Frederik Pohl,1977,4.06,42742,1663,Heechee Saga,1
211,Use of Weapons,Iain M. Banks,1990,4.17,44097,1660,Culture,3
212,Ready Player Two,Ernest Cline,2020,3.43,125306,1656,Ready Player One,2
213,Aurora Rising,Amie Kaufman,2019,4.12,57133,1656,The Aurora Cycle,1
214,Persepolis Rising,James S.A. Corey,2017,4.37,56329,1650,The Expanse,7
215,Ancillary Mercy,Ann Leckie,2015,4.2,39043,1637,Imperial Radch,3
216,To Sleep in a Sea of Stars,Christopher Paolini,2020,3.78,42594,1633,,
217,Fugitive Telemetry,Martha Wells,2021,4.32,39929,1632,The Murderbot Diaries,6
218,The First Fifteen Lives of Harry August,Claire North,2014,4.03,79471,1629,,
219,Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,1886,3.83,489508,1621,,
220,Prey,Michael Crichton,2002,3.77,170978,1613,,
221,Count Zero,William Gibson,1986,4.01,50053,1607,Sprawl,2
222,The Demolished Man,Alfred Bester,1953,3.98,30441,1599,,
223,The Humans,Matt Haig,2013,4.08,91891,1597,,
224,Specials,Scott Westerfeld,2006,3.76,181771,1594,Uglies,3
225,The Rise of Endymion,Dan Simmons,1997,4.17,51106,1594,Hyperion Cantos,4
226,Shadow Puppets,Orson Scott Card,2002,3.89,57125,1586,The Shadow Series,3
227,Watchmen,Alan Moore,1987,4.37,527977,1573,,
228,Record of a Spaceborn Few,Becky  Chambers,2018,4.1,35596,1572,Wayfarers,3
229,Dark Force Rising,Timothy Zahn,1992,4.17,58808,1540,Star Wars: The Thrawn Trilogy,2
230,An Absolutely Remarkable Thing,Hank Green,2018,4.04,96353,1531,The Carls,1
231,Under the Dome,Stephen King,2009,3.91,281840,1525,,
232,"Saga, Volume 3",Brian K. Vaughan,2014,4.49,89202,1521,,
233,Fairest,Marissa Meyer,2015,3.97,125630,1519,The Lunar Chronicles,3.5
234,The City of Ember,Jeanne DuPrau,2003,3.88,267410,1489,Book of Ember,1
235,Waking Gods,Sylvain Neuvel,2017,4.01,41644,1479,Themis Files,2
236,Acceptance,Jeff VanderMeer,2014,3.62,56056,1478,,
237,Green Mars,Kim Stanley Robinson,1993,3.94,35978,1477,Mars Trilogy,2
238,The Last Command,Timothy Zahn,1993,4.24,52651,1456,Star Wars: The Thrawn Trilogy,3
239,Starsight,Brandon Sanderson,2019,4.4,68202,1455,Skyward,2
240,Obsidio,Amie Kaufman,2018,4.47,48302,1453,The Illuminae Files,3
241,Delirium,Lauren Oliver,2011,3.96,451326,1451,Delirium,1
242,Mona Lisa Overdrive,William Gibson,1988,4.0,40605,1451,Sprawl,3
243,The City and the Stars,Arthur C. Clarke,1956,4.08,31575,1446,,
244,Embassytown,China Miéville,2011,3.89,29903,1442,,
245,Perelandra,C.S. Lewis,1943,3.98,47707,1434,The Space Trilogy,2
246,The Chrysalids,John Wyndham,1955,3.93,50474,1433,,
247,Tiamat's Wrath,James S.A. Corey,2019,4.57,50835,1426,The Expanse,8
248,Robots and Empire,Isaac Asimov,1985,4.21,30259,1417,Robot,4
249,The Infinite Sea,Rick Yancey,2014,3.85,133257,1413,The 5th Wave,2
250,"Flow My Tears, the Policeman Said",Philip K. Dick,1974,3.92,38106,1403,,
251,The Space Between Worlds,Micaiah Johnson,2020,3.97,29324,1401,,
252,Leviathan,Scott Westerfeld,2009,3.91,90510,1393,Leviathan,1
253,The Three Stigmata of Palmer Eldritch,Philip K. Dick,1965,4.01,35785,1391,,
254,Shift,Hugh Howey,2013,4.12,78865,1383,Silo,2
255,The Warrior's Apprentice,Lois McMaster Bujold,1986,4.27,26432,1383,Vorkosigan Saga,2
256,Dragonflight,Anne McCaffrey,1968,4.09,132799,1376,Dragonriders of Pern,1
257,Shadow of the Giant,Orson Scott Card,2005,4.01,51759,1373,The Shadow Series,4
258,Lord of Light,Roger Zelazny,1967,4.07,31031,1367,,
259,2061: Odyssey Three,Arthur C. Clarke,1989,3.59,29189,1363,,
260,Feed,M.T. Anderson,2002,3.56,61251,1354,,
261,The Obelisk Gate,N.K. Jemisin,2016,4.31,130745,1350,The Broken Earth,2
262,Ender in Exile,Orson Scott Card,2008,3.91,47750,1350,Ender's Saga,5
263,Sea of Tranquility,Emily St. John Mandel,2022,4.17,78549,1348,,
264,"Saga, Volume 4",Brian K. Vaughan,2014,4.43,73585,1346,,
265,Ninefox Gambit,Yoon Ha Lee,2016,3.81,17944,1339,The Machineries of Empire,1
266,The Gunslinger,Stephen King,1982,3.94,565554,1312,The Dark Tower,1
267,Shatter Me,Tahereh Mafi,2011,3.9,522246,1310,Shatter Me,1
268,The Reality Dysfunction,Peter F. Hamilton,1996,4.13,34690,1306,Night's Dawn,1
269,The Word for World Is Forest,Ursula K. Le Guin,1972,4.01,24478,1296,Hainish Cycle,5
270,Nightfall,Isaac Asimov,1990,4.05,34312,1271,,
271,Fuzzy Nation,John Scalzi,2011,4.12,28954,1269,Fuzzy Sapiens ,7
